Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Period,Room,Meeting Date,Add Consent,Drop Consent,Course Offering Dept
2026-27 Term 1,2420,ACCT,ACCT1111A,9637,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,70,LEC,A,E,Tu 03:30PM - 06:15PM,WMY_505,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT1111B,9602,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,77,73,LEC,B,E,Th 02:30PM - 05:15PM,ARC_G03,"9/10, 9/17, 9/24",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT1111B,9602,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,77,73,LEC,B,E,Th 02:30PM - 05:15PM,ARC_G03,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT1111C,5857,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,70,LEC,C,E,Tu 12:30PM - 03:15PM,WMY_505,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111A,5652,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor GENG Lingfeng,130,88,LEC,A,E,Fr 08:30AM - 11:15AM,CKB_LT3,"9/11, 9/18, 9/25, 10/2, 10/9, 10/16, 10/23, 10/30, 11/6, 11/13, 11/20, 11/27, 12/4",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111B,7071,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor Janja BRENDEL,130,74,LEC,B,E,Mo 12:30PM - 03:15PM,LKC_LT1,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111B,7071,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor Janja BRENDEL,130,74,LEC,B,E,Mo 12:30PM - 03:15PM,LKC_LT1,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111C,7035,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor GENG Lingfeng,130,51,LEC,C,E,We 02:30PM - 05:15PM,CYT_LT1A,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111D,7069,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor Janja BRENDEL,130,54,LEC,D,E,Tu 02:30PM - 05:15PM,ERB_LT,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Sch of Accountancy
2026-27 Term 1,2420,ACCT,ACCT2111E,7287,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor GENG Lingfeng,130,56,LEC,E,E,Th 02:30PM - 05:15PM,ELB_LT1,"9/10, 9/17, 9/24",,,Sch of Accountancy
