Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Add Consent,Drop Consent,Course Offering Dept,Meetings
2026-27 Term 2,2430,ACCT,ACCT1111D,9542,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,70,LEC,D,E,Yes,Yes,Sch of Accountancy,"Th 09:30AM - 12:15PM · CYT_209A · 1/14, 1/21, 1/28, 2/4 | Th 09:30AM - 12:15PM · CYT_209A · 2/18, 2/25, 3/4 | Th 09:30AM - 12:15PM · CYT_209A · 3/18, 3/25, 4/1, 4/8, 4/15, 4/22"
2026-27 Term 2,2430,ACCT,ACCT1111E,9449,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,60,LEC,E,E,Yes,Yes,Sch of Accountancy,"Th 02:30PM - 05:15PM · YIA_LT9 · 1/14, 1/21, 1/28, 2/4 | Th 02:30PM - 05:15PM · YIA_LT9 · 2/18, 2/25, 3/4 | Th 02:30PM - 05:15PM · YIA_LT9 · 3/18, 3/25, 4/1, 4/8, 4/15, 4/22"
2026-27 Term 2,2430,ACCT,ACCT2111F,6005,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor HE Jiapeng,65,65,LEC,F,E,,,Sch of Accountancy,"Th 09:30AM - 12:15PM · CYT_209B · 1/14, 1/21, 1/28, 2/4 | Th 09:30AM - 12:15PM · CYT_209B · 2/18, 2/25, 3/4 | Th 09:30AM - 12:15PM · CYT_209B · 3/18, 3/25, 4/1, 4/8, 4/15, 4/22"
2026-27 Term 2,2430,ACCT,ACCT2111G,6178,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor HE Jiapeng,65,65,LEC,G,E,,,Sch of Accountancy,"Tu 10:30AM - 01:15PM · CYT_209B · 1/12, 1/19, 1/26, 2/2 | Tu 10:30AM - 01:15PM · CYT_209B · 2/16, 2/23, 3/2 | Tu 10:30AM - 01:15PM · CYT_209B · 3/16, 3/23, 3/30, 4/6, 4/13, 4/20"
2026-27 Term 2,2430,ACCT,ACCT2111H,6004,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor HE Jiapeng,65,65,LEC,H,E,,,Sch of Accountancy,"Th 03:30PM - 06:15PM · WMY_508 · 1/14, 1/21, 1/28, 2/4 | Th 03:30PM - 06:15PM · WMY_508 · 2/18, 2/25, 3/4 | Th 03:30PM - 06:15PM · WMY_508 · 3/18, 3/25, 4/1, 4/8, 4/15, 4/22"
2026-27 Term 2,2430,ACCT,ACCT2121D,5769,Introductory Mgt Accounting 管理會計導論,3.00,- Professor YANG Yucheng,75,75,LEC,D,E,,,Sch of Accountancy,"Fr 08:30AM - 11:15AM · WMY_507 · 1/15, 1/22, 1/29 | Fr 08:30AM - 11:15AM · WMY_507 · 2/12, 2/19, 2/26, 3/5 | Fr 08:30AM - 11:15AM · WMY_507 · 3/19 | Fr 08:30AM - 11:15AM · WMY_507 · 4/2, 4/9, 4/16, 4/23"
2026-27 Term 2,2430,ACCT,ACCT2121E,5791,Introductory Mgt Accounting 管理會計導論,3.00,- Professor CHEN Yue,75,75,LEC,E,E,,,Sch of Accountancy,"Mo 11:30AM - 02:15PM · WMY_505 · 1/11, 1/18, 1/25, 2/1 | Mo 11:30AM - 02:15PM · WMY_505 · 2/15, 2/22, 3/1 | Mo 11:30AM - 02:15PM · WMY_505 · 3/15, 3/22 | Mo 11:30AM - 02:15PM · WMY_505 · 4/12, 4/19"
2026-27 Term 2,2430,ACCT,ACCT2121F,5804,Introductory Mgt Accounting 管理會計導論,3.00,- Professor CHEN Yue,75,75,LEC,F,E,,,Sch of Accountancy,"Tu 10:30AM - 01:15PM · ELB_LT2 · 1/12, 1/19, 1/26, 2/2 | Tu 10:30AM - 01:15PM · ELB_LT2 · 2/16, 2/23, 3/2 | Tu 10:30AM - 01:15PM · ELB_LT2 · 3/16, 3/23, 3/30, 4/6, 4/13, 4/20"
2026-27 Term 2,2430,ACCT,ACCT2121G,7230,Introductory Mgt Accounting 管理會計導論,3.00,- Professor CHEN Yue,75,75,LEC,G,E,,,Sch of Accountancy,"We 09:30AM - 12:15PM · CYT_LT1A · 1/13, 1/20, 1/27, 2/3 | We 09:30AM - 12:15PM · CYT_LT1A · 2/17, 2/24, 3/3 | We 09:30AM - 12:15PM · CYT_LT1A · 3/17, 3/24, 3/31, 4/7, 4/14, 4/21"
2026-27 Term 2,2430,ACCT,ACCT2121H,8445,Introductory Mgt Accounting 管理會計導論,3.00,- Professor HUANG Ying,75,75,LEC,H,E,,,Sch of Accountancy,"Fr 08:30AM - 11:15AM · WMY_505 · 1/15, 1/22, 1/29 | Fr 08:30AM - 11:15AM · WMY_505 · 2/12, 2/19, 2/26, 3/5 | Fr 08:30AM - 11:15AM · WMY_505 · 3/19 | Fr 08:30AM - 11:15AM · WMY_505 · 4/2, 4/9, 4/16, 4/23"
