entity_type,entity_id,term_code,course_code,class_nbr,status,reason,attempt_count,first_attempt_at,last_attempt_at,source_snapshot_id,raw_path
subject,ACCT,2420,,,data,,1,2026-08-14T17:54:13.919Z,2026-08-14T17:54:19.641Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ACCT.json
subject,AIST,2420,,,data,,1,2026-08-14T17:53:27.585Z,2026-08-14T17:53:32.224Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/AIST.json
subject,ANTH,2420,,,data,,1,2026-08-14T17:53:32.225Z,2026-08-14T17:53:36.777Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ANTH.json
subject,ARAB,2420,,,data,,1,2026-08-14T17:53:36.777Z,2026-08-14T17:53:41.266Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ARAB.json
subject,ARCH,2420,,,data,,1,2026-08-14T17:53:41.266Z,2026-08-14T17:53:46.085Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ARCH.json
subject,ARTS,2420,,,school_approval_required,"Per confirmed project rule, this subject requires school approval; absence of public rows is not treated as a collection gap.",2,2026-08-14T18:00:12.100Z,2026-08-14T18:00:21.944Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ARTS.json
subject,ASEI,2420,,,data,,1,2026-08-14T17:53:58.472Z,2026-08-14T17:54:04.751Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ASEI.json
subject,BCHE,2420,,,data,,1,2026-08-14T17:54:04.751Z,2026-08-14T17:54:11.121Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BCHE.json
subject,BCME,2420,,,data,,2,2026-08-14T17:55:18.014Z,2026-08-14T17:55:27.850Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BCME.json
subject,BECE,2420,,,data,,1,2026-08-14T17:54:39.270Z,2026-08-14T17:54:43.630Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BECE.json
subject,BEHM,2420,,,data,,1,2026-08-14T17:54:43.630Z,2026-08-14T17:54:48.958Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BEHM.json
subject,BIOL,2420,,,data,,1,2026-08-14T17:54:48.959Z,2026-08-14T17:54:53.418Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BIOL.json
subject,BMBL,2420,,,data,,1,2026-08-14T17:54:53.418Z,2026-08-14T17:54:57.858Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BMBL.json
subject,BMED,2420,,,data,,1,2026-08-14T17:54:57.859Z,2026-08-14T17:55:02.495Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BMED.json
subject,BMEG,2420,,,data,,1,2026-08-14T17:56:18.381Z,2026-08-14T17:56:23.140Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/BMEG.json
subject,CDAS,2420,,,data,,1,2026-08-14T17:55:37.966Z,2026-08-14T17:55:42.464Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CDAS.json
subject,CENG,2420,,,data,,1,2026-08-14T17:55:42.465Z,2026-08-14T17:55:47.200Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CENG.json
subject,CHED,2420,,,data,,1,2026-08-14T17:55:47.201Z,2026-08-14T17:55:51.612Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CHED.json
subject,CHEM,2420,,,data,,2,2026-08-14T17:56:23.140Z,2026-08-14T17:56:32.896Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CHEM.json
subject,CHES,2420,,,data,,1,2026-08-14T17:56:01.675Z,2026-08-14T17:56:05.983Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CHES.json
subject,CHLL,2420,,,data,,1,2026-08-14T17:56:32.897Z,2026-08-14T17:56:37.571Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CHLL.json
subject,CHLT,2420,,,data,Complete result grid recaptured from the official public timetable.,2,2026-08-14T18:00:21.944Z,2026-08-14T18:00:32.659Z,2026-08-15T18-34-00+08-00-gap-recapture,data/cuhk-timetable/snapshots/2026-08-15T18-34-00+08-00-gap-recapture/raw/2420/CHLT.json
subject,CHPR,2420,,,data,,1,2026-08-14T17:56:48.544Z,2026-08-14T17:56:52.947Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CHPR.json
subject,CLCC,2420,,,data,,1,2026-08-14T17:56:52.947Z,2026-08-14T17:56:57.729Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CLCC.json
subject,CLCE,2420,,,data,,1,2026-08-14T17:56:57.730Z,2026-08-14T17:57:02.058Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CLCE.json
subject,CLCH,2420,,,data,,1,2026-08-14T17:57:30.465Z,2026-08-14T17:57:36.426Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CLCH.json
subject,CLCP,2420,,,data,,2,2026-08-14T17:59:49.871Z,2026-08-14T17:59:59.653Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CLCP.json
subject,CLED,2420,,,data,,1,2026-08-14T17:57:46.431Z,2026-08-14T17:57:50.644Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CLED.json
subject,CMBI,2420,,,data,,1,2026-08-14T17:57:50.645Z,2026-08-14T17:57:55.117Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/CMBI.json
subject,COMM,2420,,,data,,1,2026-08-14T17:58:40.681Z,2026-08-14T17:58:45.418Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/COMM.json
