term_code,class_nbr,course_code,class_code,class_status,session,units,instruction_mode,course_id,offer_number,career,dates_raw,grading_basis,campus,class_capacity,waitlist_capacity,enrollment_total,waitlist_total,available_seats,raw_text,source_snapshot_id,captured_at,parse_status
2420,5404,ACCT3151,ACCT3151B,Open,Regular Academic Session,,In Person,001100,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,76,999,6,0,70,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3151 - B   Business Law


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5404

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001100

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Mo 09:30 - 12:15
	
Yasumoto Int'l Acad Park LT7
	
Dr. LAW Man Wai Anthony
	
9/7, 9/14, 9/21, 9/28, 10/5, 10/12


Mo 09:30 - 12:15
	
Yasumoto Int'l Acad Park LT7
	
Dr. LAW Man Wai Anthony
	
10/26, 11/2, 11/9, 11/16, 11/23, 11/30


	
Enrollment Information

					
	
1. For Year 2 or above PACC majors
2. For all PACC majors admitted to Senior Year places
Not for students who have taken ACCT2151, LAWS1041 or LAWS1042

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
76
	
Wait List Capacity
	
999

	
Enrollment Total
	
6
	
Wait List Total
	
0

	
Available Seats
	
70


	
Description

	
	
This course will provide an introduction to the legal system of Hong Kong with emphasis on the legal environment of business. It will encompass a study of selected topics in contract law including the elements of business contracting, the rights and obligations of parties to the contract, the sale of goods and employment law. This course will also examine the tort of negligence in a professional context.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:44:35.591Z,common_fields_parsed_raw_preserved
2420,5447,ACCT3112,ACCT3112A,Open,Regular Academic Session,,In Person,001090,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,60,999,11,0,49,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3112 - A   Financial Reporting II


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5447

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001090

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

We 14:30 - 17:15
	
Yasumoto Int'l Acad Park 201
	
Professor Erik Thomas ELFRINK
	
9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2


	
Enrollment Information

					
	
For UG PACC Major
Prerequisite: ACCT3111

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
60
	
Wait List Capacity
	
999

	
Enrollment Total
	
11
	
Wait List Total
	
0

	
Available Seats
	
49


	
Description

	
	
This course, a continuation of ACCT3111, will emphasize on stock-holders' equity and such other special accounting items as inflation accounting, leases, pensions and other post-employment benefits, accounting changes, and the more sophisticated aspects of financial reporting.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:43:13.537Z,common_fields_parsed_raw_preserved
2420,5580,ACCT3111,ACCT3111A,Open,Regular Academic Session,,In Person,001089,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,60,999,2,0,58,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3111 - A   Financial Reporting I


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5580

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001089

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

We 09:30 - 12:15
	
Cheng Yu Tung Building 209B
	
Dr. GUAN Yanling
	
9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2


	
Enrollment Information

					
	
For UG PACC Major
Prerequisite: ACCT2111

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
60
	
Wait List Capacity
	
999

	
Enrollment Total
	
2
	
Wait List Total
	
0

	
Available Seats
	
58


	
Description

	
	
This course is designed to augment the knowledge of students who have had instruction in the fundamentals of accounting. To this end, it will provide instruction in accounting theory, the development of accounting principles and their application to income determination, the presentation of financial statements for business, and the management and reporting of assets as well as liabilities.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:43:04.590Z,common_fields_parsed_raw_preserved
2420,5581,ACCT3121,ACCT3121A,Open,Regular Academic Session,,In Person,001091,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,50,999,7,0,43,"Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3121 - A   Cost and Management Accounting


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5581

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001091

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

We 14:30 - 17:15
	
Lee Shau Kee Archi Bldg G04
	
Professor YIN Laiyi
	
9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2


	
Enrollment Information

					
	
For UG PACC Major
Prerequisite: ACCT2121

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
50
	
Wait List Capacity
	
999

	
Enrollment Total
	
7
	
Wait List Total
	
0

	
Available Seats
	
43


	
Description

	
	
This course emphasizes the analysis and the use of cost accounting information for managers' decision-making. The major topics covered will include ABC costing, cost allocation for joint products and byproducts, cost estimation and learning curve, relevant costs analysis,master and capital budgeting, variances analysis, inventory costing method and inventory management.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:43:38.915Z,common_fields_parsed_raw_preserved
2420,5582,ACCT3121,ACCT3121B,Open,Regular Academic Session,,In Person,001091,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,50,999,9,0,41,"Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3121 - B   Cost and Management Accounting


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5582

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001091

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Tu 09:30 - 12:15
	
Cheng Yu Tung Building 201
	
Professor YIN Laiyi
	
9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1


	
Enrollment Information

					
	
For UG PACC Major
Prerequisite: ACCT2121

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
50
	
Wait List Capacity
	
999

	
Enrollment Total
	
9
	
Wait List Total
	
0

	
Available Seats
	
41


	
Description

	
	
This course emphasizes the analysis and the use of cost accounting information for managers' decision-making. The major topics covered will include ABC costing, cost allocation for joint products and byproducts, cost estimation and learning curve, relevant costs analysis,master and capital budgeting, variances analysis, inventory costing method and inventory management.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:43:46.246Z,common_fields_parsed_raw_preserved
2420,5652,ACCT2111,ACCT2111A,Open,Regular Academic Session,,In Person,001083,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,130,999,41,6,89,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 2111 - A   Introductory Financial Accounting


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5652

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001083

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Fr 08:30 - 11:15
	
Chen Kou Bun Bldg LT3
	
Professor GENG Lingfeng
	
9/11, 9/18, 9/25, 10/2, 10/9, 10/16, 10/23, 10/30, 11/6, 11/13, 11/20, 11/27, 12/4


	
Enrollment Information

					
	
Not for students who have taken ACCT1111

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
130
	
Wait List Capacity
	
999

	
Enrollment Total
	
41
	
Wait List Total
	
6

	
Available Seats
	
89


	
Description

	
	
This course is designed to provide students with a comprehensive understanding of financial accounting principles, practices and its underlying theories. In this course, we will emphasize on basic financial accounting concepts and principles, and discuss how to measure a company's net income, assets, liabilities and shareholders' equity using Generally Accepted Accounting Principles (GAAP).


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:41:21.425Z,common_fields_parsed_raw_preserved
2420,5677,ACCT3151,ACCT3151A,Open,Regular Academic Session,,In Person,001100,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,77,999,7,0,70,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3151 - A   Business Law


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5677

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001100

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Tu 15:30 - 18:15
	
Sino Building LT2
	
Dr. LAW Man Wai Anthony
	
9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1


	
Enrollment Information

					
	
1. For Year 2 or above PACC majors
2. For all PACC majors admitted to Senior Year places
Not for students who have taken ACCT2151, LAWS1041 or LAWS1042

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
77
	
Wait List Capacity
	
999

	
Enrollment Total
	
7
	
Wait List Total
	
0

	
Available Seats
	
70


	
Description

	
	
This course will provide an introduction to the legal system of Hong Kong with emphasis on the legal environment of business. It will encompass a study of selected topics in contract law including the elements of business contracting, the rights and obligations of parties to the contract, the sale of goods and employment law. This course will also examine the tort of negligence in a professional context.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:44:26.776Z,common_fields_parsed_raw_preserved
2420,5857,ACCT1111,ACCT1111C,Open,Regular Academic Session,,In Person,010848,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,70,999,0,0,70,"Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 1111 - C   Foundations in Financial Accounting


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5857

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
010848

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Tu 12:30 - 15:15
	
Wu Ho Man Yuen Bldg 505
	
Dr. WONG Kin Ho
	
9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1


	
Enrollment Information

					
	
For UG IFAA Major
Not for students who have taken ACCT2111.

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
70
	
Wait List Capacity
	
999

	
Enrollment Total
	
0
	
Wait List Total
	
0

	
Available Seats
	
70


	
Description

	
	
This course develops students' conceptual skills and competence in processing, preparing and reporting accounting information in accordance with Generally Accepted Accounting Principles (GAAP).  It introduces the basic concepts and principles of financial accounting including the analysis, recording and reporting of business transactions; preparation and interpretation of financial statements.  Topics include the accounting principles, the recording process, accounting for assets, liabilities, net income and shareholders' equity; and decision making using accounting information.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:41:13.152Z,common_fields_parsed_raw_preserved
2420,5939,ACCT3112,ACCT3112C,Open,Regular Academic Session,,In Person,001090,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,60,999,6,0,54,"	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 3112 - C   Financial Reporting II


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
5939

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001090

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

Mo 12:30 - 15:15
	
Esther Lee Bldg 401
	
Professor Erik Thomas ELFRINK
	
9/7, 9/14, 9/21, 9/28, 10/5, 10/12


Mo 12:30 - 15:15
	
Esther Lee Bldg 401
	
Professor Erik Thomas ELFRINK
	
10/26, 11/2, 11/9, 11/16, 11/23, 11/30


	
Enrollment Information

					
	
For UG PACC Major
Prerequisite: ACCT3111

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
60
	
Wait List Capacity
	
999

	
Enrollment Total
	
6
	
Wait List Total
	
0

	
Available Seats
	
54


	
Description

	
	
This course, a continuation of ACCT3111, will emphasize on stock-holders' equity and such other special accounting items as inflation accounting, leases, pensions and other post-employment benefits, accounting changes, and the more sophisticated aspects of financial reporting.


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:43:31.994Z,common_fields_parsed_raw_preserved
2420,7035,ACCT2111,ACCT2111C,Open,Regular Academic Session,,In Person,001083,1,Undergraduate,2026/8/1 - 2026/12/31,Graded,Main Campus,130,999,80,7,50,"Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
														
	
Groupbox

			
	
Teaching Timetable

	
Class Detail

	
 


	


	

	
ACCT 2111 - C   Introductory Financial Accounting


	
CUHK | 2026-27 Term 1 | Lecture

	


	
Class Details

				
	
								
	

	
Status

		
Open

	
Class Number

	
7035

	
Session

	
Regular Academic Session

	
1

	
Units

	
3 units

	
Instruction Mode

	
In Person

	
P

		
Lecture Required

	
Class Components

	
<table class=""PSTEXT""><tr><td>Lecture Required</td></tr></table>
		
				
	
Course ID

		
001083

	
Offer Nbr

	
1

	
Career
	
Undergraduate

	
UG

	
Dates

	
2026/8/1 - 2026/12/31

	
Grading
	
Graded

		
GRD

	
Campus
	
Main Campus

	
MAIN




	
Meeting Information


Days & Times	Room	Instructor	Meeting Dates

We 14:30 - 17:15
	
Cheng Yu Tung Building LT1A
	
Professor GENG Lingfeng
	
9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2


	
Enrollment Information

					
	
Not for students who have taken ACCT1111

	
Enrollment Requirements

	
			
	
Class Attributes
		
English only




	
Class Availability

						
	
Class Capacity
	
130
	
Wait List Capacity
	
999

	
Enrollment Total
	
80
	
Wait List Total
	
7

	
Available Seats
	
50


	
Description

	
	
This course is designed to provide students with a comprehensive understanding of financial accounting principles, practices and its underlying theories. In this course, we will emphasize on basic financial accounting concepts and principles, and discuss how to measure a company's net income, assets, liabilities and shareholders' equity using Generally Accepted Accounting Principles (GAAP).


	
	
	
Return to Teaching Timetable



",2026-08-15T01-38-53+08-00,2026-08-14T17:41:38.547Z,common_fields_parsed_raw_preserved
