term_code,class_nbr,course_code,class_code,section_code,primary_component,career,language,units,course_title_en,course_title_zh,teaching_staff,quota_total,vacancy,add_consent,drop_consent,course_offering_dept,source_snapshot_id,source_kind,captured_at
2420,9637,ACCT1111,ACCT1111A,A,LEC,Undergraduate,E,3,Foundations in Financial Acctg,基礎財務會計,- Dr. WONG Kin Ho,70,69,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9602,ACCT1111,ACCT1111B,B,LEC,Undergraduate,E,3,Foundations in Financial Acctg,基礎財務會計,- Dr. WONG Kin Ho,77,73,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5857,ACCT1111,ACCT1111C,C,LEC,Undergraduate,E,3,Foundations in Financial Acctg,基礎財務會計,- Dr. WONG Kin Ho,70,70,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5652,ACCT2111,ACCT2111A,A,LEC,Undergraduate,E,3,Introductory Fin'l Accounting,財務會計導論,- Professor GENG Lingfeng,130,89,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7071,ACCT2111,ACCT2111B,B,LEC,Undergraduate,E,3,Introductory Fin'l Accounting,財務會計導論,- Professor Janja BRENDEL,130,73,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7035,ACCT2111,ACCT2111C,C,LEC,Undergraduate,E,3,Introductory Fin'l Accounting,財務會計導論,- Professor GENG Lingfeng,130,50,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7069,ACCT2111,ACCT2111D,D,LEC,Undergraduate,E,3,Introductory Fin'l Accounting,財務會計導論,- Professor Janja BRENDEL,130,54,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7287,ACCT2111,ACCT2111E,E,LEC,Undergraduate,E,3,Introductory Fin'l Accounting,財務會計導論,- Professor GENG Lingfeng,130,56,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9076,ACCT2121,ACCT2121A,A,LEC,Undergraduate,E,3,Introductory Mgt Accounting,管理會計導論,- Professor KANG Ya,60,0,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9690,ACCT2121,ACCT2121B,B,LEC,Undergraduate,E,3,Introductory Mgt Accounting,管理會計導論,- Professor KANG Ya,60,5,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9446,ACCT2121,ACCT2121C,C,LEC,Undergraduate,E,3,Introductory Mgt Accounting,管理會計導論,- Professor KANG Ya,60,13,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9133,ACCT2151,ACCT2151A,A,LEC,Undergraduate,E,2,Legal Environment for Business,商業法律環境,- Dr. SO Lok Kan,75,46,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9600,ACCT2151,ACCT2151B,B,LEC,Undergraduate,E,2,Legal Environment for Business,商業法律環境,- Dr. SO Lok Kan,75,56,,,Sch of Accountancy,2026-08-15T01-53-13+08-00-full-term-1,current,
