course_code,career,units,grading_basis,campus,academic_group,academic_organization,add_consent,drop_consent,enrollment_requirement,description,raw_text,source_snapshot_id,captured_at,parse_status
ACCT1111,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,Department Consent Required,Department Consent Required,Not for students who have taken ACCT2111.,"This course develops students' conceptual skills and competence in processing, preparing and reporting accounting information in accordance with Generally Accepted Accounting Principles (GAAP). It introduces the basic concepts and principles of financial accounting including the analysis, recording and reporting of business transactions; preparation and interpretation of financial statements. Topics include the accounting principles, the recording process, accounting for assets, liabilities, net income and shareholders' equity; and decision making using accounting information.","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 1111 - Foundations in Financial Accounting

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Add Consent
	
Department Consent Required

	
Drop Consent
	
Department Consent Required

	
Enrollment Requirement
	
Not for students who have taken ACCT2111.


	
Description

	
	
This course develops students' conceptual skills and competence in processing, preparing and reporting accounting information in accordance with Generally Accepted Accounting Principles (GAAP).  It introduces the basic concepts and principles of financial accounting including the analysis, recording and reporting of business transactions; preparation and interpretation of financial statements.  Topics include the accounting principles, the recording process, accounting for assets, liabilities, net income and shareholders' equity; and decision making using accounting information.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:14.314Z,common_fields_parsed_raw_preserved
ACCT2111,Return to Browse Course Catalog,,Laboratory,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Not for students who have taken ACCT1111,"This course is designed to provide students with a comprehensive understanding of financial accounting principles, practices and its underlying theories. In this course, we will emphasize on basic financial accounting concepts and principles, and discuss how to measure a company's net income, assets, liabilities and shareholders' equity using Generally Accepted Accounting Principles (GAAP).","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 2111 - Introductory Financial Accounting

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Laboratory
	
Optional

	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Not for students who have taken ACCT1111


	
Description

	
	
This course is designed to provide students with a comprehensive understanding of financial accounting principles, practices and its underlying theories. In this course, we will emphasize on basic financial accounting concepts and principles, and discuss how to measure a company's net income, assets, liabilities and shareholders' equity using Generally Accepted Accounting Principles (GAAP).

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:19.235Z,common_fields_parsed_raw_preserved
ACCT2121,Return to Browse Course Catalog,,Laboratory,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Pre-requisite: ACCT1111 or ACCT2111,"This course is designed to provide students with the concepts and techniques of managerial accounting, with the emphasis on the uses of management accounting information by managers in planning, controlling and decisions making. Major topics will include costing systems, activity-based costing, cost-volume-profit relationship, variable costing, budgeting, standard costing, and relevant costs for decision-making.","Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 2121 - Introductory Management Accounting

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Laboratory
	
Optional

	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Pre-requisite: ACCT1111 or ACCT2111


	
Description

	
	
This course is designed to provide students with the concepts and techniques of managerial accounting, with the emphasis on the uses of management accounting information by managers in planning, controlling and decisions making. Major topics will include costing systems, activity-based costing, cost-volume-profit relationship, variable costing, budgeting, standard costing, and relevant costs for decision-making.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:24.202Z,common_fields_parsed_raw_preserved
ACCT2151,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Not for students who have taken ACCT3151,"This course seeks to provide an introduction to the legal environment in the business context. To this end, the course will begin with an examination of the legal system of the Hong Kong SAR before proceeding to encompass a selection of topics in laws relating to business such as contract law, law of negligence, employment law, privacy law, laws of equal opportunities, anti-corruption law and anti-competition law. Students can know the important rules of business law. These rules concern how the courts deal with business-related disputes in the real life and students can in particular learn issues about consumers’ rights and to what extent the laws enhance a fair business environment.","Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 2151 - Legal Environment for Business

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
2.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Not for students who have taken ACCT3151


	
Description

	
	
This course seeks to provide an introduction to the legal environment in the business context.  To this end, the course will begin with an examination of the legal system of the Hong Kong SAR before proceeding to encompass a selection of topics in laws relating to business such as contract law, law of negligence, employment law, privacy law, laws of equal opportunities, anti-corruption law and anti-competition law. Students can know the important rules of business law.  These rules concern how the courts deal with business-related disputes in the real life and students can in particular learn issues about consumers’ rights and to what extent the laws enhance a fair business environment.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:29.339Z,common_fields_parsed_raw_preserved
ACCT3111,Return to Browse Course Catalog,,Laboratory,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Prerequisite: ACCT2111,"This course is designed to augment the knowledge of students who have had instruction in the fundamentals of accounting. To this end, it will provide instruction in accounting theory, the development of accounting principles and their application to income determination, the presentation of financial statements for business, and the management and reporting of assets as well as liabilities.","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3111 - Financial Reporting I

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Laboratory
	
Optional

	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Prerequisite: ACCT2111


	
Description

	
	
This course is designed to augment the knowledge of students who have had instruction in the fundamentals of accounting. To this end, it will provide instruction in accounting theory, the development of accounting principles and their application to income determination, the presentation of financial statements for business, and the management and reporting of assets as well as liabilities.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:33.900Z,common_fields_parsed_raw_preserved
ACCT3112,Return to Browse Course Catalog,,Laboratory,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Prerequisite: ACCT3111,"This course, a continuation of ACCT3111, will emphasize on stock-holders' equity and such other special accounting items as inflation accounting, leases, pensions and other post-employment benefits, accounting changes, and the more sophisticated aspects of financial reporting.","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3112 - Financial Reporting II

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Laboratory
	
Optional

	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Prerequisite: ACCT3111


	
Description

	
	
This course, a continuation of ACCT3111, will emphasize on stock-holders' equity and such other special accounting items as inflation accounting, leases, pensions and other post-employment benefits, accounting changes, and the more sophisticated aspects of financial reporting.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:38.416Z,common_fields_parsed_raw_preserved
ACCT3121,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,,,Prerequisite: ACCT2121,"This course emphasizes the analysis and the use of cost accounting information for managers' decision-making. The major topics covered will include ABC costing, cost allocation for joint products and byproducts, cost estimation and learning curve, relevant costs analysis,master and capital budgeting, variances analysis, inventory costing method and inventory management.","Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3121 - Cost and Management Accounting

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Prerequisite: ACCT2121


	
Description

	
	
This course emphasizes the analysis and the use of cost accounting information for managers' decision-making. The major topics covered will include ABC costing, cost allocation for joint products and byproducts, cost estimation and learning curve, relevant costs analysis,master and capital budgeting, variances analysis, inventory costing method and inventory management.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:42.808Z,common_fields_parsed_raw_preserved
ACCT3142,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,,,1. Pre-requisite: ACCT2111,"This course will provide a framework for students to understand the functions of accounting information systems in contemporary business organizations. System documentation skills will be introduced to enable students to fully understand a company’s business processes and its internal controls. In addition, students will learn how to build accounting information system in a database management system environment using data modeling techniques. The course will be supplemented by laboratory sessions.","Loading Complete
	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3142 - Contemporary Accounting Information Systems

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
1. Pre-requisite: ACCT2111
2. Not for students who have taken ACCT3141


	
Description

	
	
This course will provide a framework for students to understand the functions of accounting information systems in contemporary business organizations. System documentation skills will be introduced to enable students to fully understand a company’s business processes and its internal controls. In addition, students will learn how to build accounting information system in a database management system environment using data modeling techniques.  The course will be supplemented by laboratory sessions.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:47.345Z,common_fields_parsed_raw_preserved
ACCT3151,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,,,"Not for students who have taken ACCT2151, LAWS1041 or LAWS1042","This course will provide an introduction to the legal system of Hong Kong with emphasis on the legal environment of business. It will encompass a study of selected topics in contract law including the elements of business contracting, the rights and obligations of parties to the contract, the sale of goods and employment law. This course will also examine the tort of negligence in a professional context.","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3151 - Business Law

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
Not for students who have taken ACCT2151, LAWS1041 or LAWS1042


	
Description

	
	
This course will provide an introduction to the legal system of Hong Kong with emphasis on the legal environment of business. It will encompass a study of selected topics in contract law including the elements of business contracting, the rights and obligations of parties to the contract, the sale of goods and employment law. This course will also examine the tort of negligence in a professional context.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:51.840Z,common_fields_parsed_raw_preserved
ACCT3152,Return to Browse Course Catalog,,Lecture,Main Campus,Sch of Accountancy,Sch of Accountancy,,,1. Prerequisite: ACCT3151,"This course is designed to acquaint students with the principles of modern company law in Hong Kong and to increase their awareness of the legal issues which are of interest to the commercial community. It will examine the formation of companies, the effects of incorporation, the division of powers as between the various organs of the company, its relationship with outsiders, key differences in methods of fund raising, options available to companies in financial difficulties and the role of external regulatory bodies.","	Data Language:  
English
Simplified Chinese
Traditional Chinese
	
													
	
		
	
		
	
				
	
XU, Jinpeng

	
	

	
	

		
Browse Course Catalog




	
Course Detail

	


	
Return to Browse Course Catalog

	


	
ACCT 3152 - Company Law

	


	
					
	
Course Detail

				
	
Undergraduate

	
Career

	
3.00

	
Units

	
Graded

	
Grading Basis

	
		
	
Lecture
	
Required

	
Course Components


	
Campus

	
Main Campus

	
Academic Group

	
Sch of Accountancy

	
Academic Organization

	
Sch of Accountancy

		

	


	
Enrollment Information

		
	
Enrollment Requirement
	
1. Prerequisite: ACCT3151
2. Not for students who have taken LAWS2101 & LAWS2102


	
Description

	
	
This course is designed to acquaint students with the principles of modern company law in Hong Kong and to increase their awareness of the legal issues which are of interest to the commercial community. It will examine the formation of companies, the effects of incorporation, the division of powers as between the various organs of the company, its relationship with outsiders, key differences in methods of fund raising, options available to companies in financial difficulties and the role of external regulatory bodies.

	
 




	
Grade Descriptor

	
	

A

Outstanding performance on all learning outcomes.

A-

Generally outstanding performance on all (or almost all) learning outcomes.

B

Substantial performance on all learning outcomes, OR high performance on some learning outcomes which compensates for less satisfactory performance on others, resulting in overall substantial performance.

C

Satisfactory performance on the majority of learning outcomes, possibly with a few weaknesses.

D

Barely satisfactory performance on a number of learning outcomes.

F

Unsatisfactory performance on a number of learning outcomes, OR failure to meet specified assessment requirements.



	


	
	
	
Return to Browse Course Catalog


	


	
				
	

	
Go to top



",2026-08-15T01-38-53+08-00,2026-08-14T17:48:56.336Z,common_fields_parsed_raw_preserved
