course_code,subject_code,class_count,class_details_captured,class_details_missing,quota_rows_captured,catalog_status,overall_status
ACCT1111,ACCT,3,3,0,1,captured,complete
ACCT2111,ACCT,5,5,0,5,captured,complete
ACCT2121,ACCT,3,3,0,0,captured,complete
ACCT2151,ACCT,3,3,0,0,captured,complete
ACCT3111,ACCT,1,1,0,0,captured,complete
ACCT3112,ACCT,3,3,0,0,captured,complete
ACCT3121,ACCT,3,3,0,0,captured,complete
ACCT3142,ACCT,2,2,0,0,captured,complete
ACCT3151,ACCT,2,2,0,0,captured,complete
ACCT3152,ACCT,1,1,0,0,captured,complete
ACCT3161,ACCT,2,0,2,0,not_collected,partial
ACCT3241,ACCT,1,0,1,0,not_collected,partial
ACCT4001,ACCT,2,0,2,0,not_collected,partial
ACCT4111,ACCT,3,0,3,0,not_collected,partial
ACCT4131,ACCT,3,0,3,0,not_collected,partial
ACCT4215,ACCT,1,0,1,0,not_collected,partial
ACCT4244,ACCT,1,0,1,0,not_collected,partial
ACCT4262,ACCT,1,0,1,0,not_collected,partial
ACCT4290,ACCT,1,0,1,0,not_collected,partial
AIST1000,AIST,1,0,1,0,not_collected,partial
AIST2010,AIST,1,0,1,0,not_collected,partial
AIST3030,AIST,1,0,1,0,not_collected,partial
AIST4010,AIST,1,0,1,0,not_collected,partial
AIST4040,AIST,1,0,1,0,not_collected,partial
AIST4998,AIST,43,0,43,0,not_collected,partial
AIST4999,AIST,1,0,1,0,not_collected,partial
ANTH1010,ANTH,1,0,1,0,not_collected,partial
ANTH1020,ANTH,1,0,1,0,not_collected,partial
ANTH1100,ANTH,1,0,1,0,not_collected,partial
ANTH1410,ANTH,1,0,1,0,not_collected,partial
ANTH2110,ANTH,1,0,1,0,not_collected,partial
ANTH2350,ANTH,1,0,1,0,not_collected,partial
ANTH2360,ANTH,1,0,1,0,not_collected,partial
ANTH2370,ANTH,1,0,1,0,not_collected,partial
ANTH2403,ANTH,1,0,1,0,not_collected,partial
ANTH2420,ANTH,1,0,1,0,not_collected,partial
ANTH2550,ANTH,1,0,1,0,not_collected,partial
ANTH2710,ANTH,1,0,1,0,not_collected,partial
ANTH2720,ANTH,1,0,1,0,not_collected,partial
ANTH2810,ANTH,1,0,1,0,not_collected,partial
ANTH3321,ANTH,1,0,1,0,not_collected,partial
ANTH3323,ANTH,2,0,2,0,not_collected,partial
ANTH3350,ANTH,1,0,1,0,not_collected,partial
ANTH4300,ANTH,1,0,1,0,not_collected,partial
ANTH4301,ANTH,1,0,1,0,not_collected,partial
ANTH4321,ANTH,1,0,1,0,not_collected,partial
ARAB1000,ARAB,2,0,2,0,not_collected,partial
ARCH2111,ARCH,4,0,4,0,not_collected,partial
ARCH2222,ARCH,1,0,1,0,not_collected,partial
ARCH2322,ARCH,1,0,1,0,not_collected,partial
ARCH3113,ARCH,3,0,3,0,not_collected,partial
ARCH3321,ARCH,1,0,1,0,not_collected,partial
ARCH4115,ARCH,4,0,4,0,not_collected,partial
ARCH4131,ARCH,1,0,1,0,not_collected,partial
ARCH4331,ARCH,1,0,1,0,not_collected,partial
ARCH4425,ARCH,1,0,1,0,not_collected,partial
ARCH4431,ARCH,1,0,1,0,not_collected,partial
ASEI3010,ASEI,1,0,1,0,not_collected,partial
ASEI3020,ASEI,1,0,1,0,not_collected,partial
BCHE2030,BCHE,1,0,1,0,not_collected,partial
BCHE2070,BCHE,1,0,1,0,not_collected,partial
BCHE3030,BCHE,1,0,1,0,not_collected,partial
BCHE3092,BCHE,7,0,7,0,not_collected,partial
BCHE3730,BCHE,1,0,1,0,not_collected,partial
BCHE4040,BCHE,1,0,1,0,not_collected,partial
BCHE4060,BCHE,1,0,1,0,not_collected,partial
BCHE4080,BCHE,1,0,1,0,not_collected,partial
BCHE4760,BCHE,1,0,1,0,not_collected,partial
BCHE4902,BCHE,1,0,1,0,not_collected,partial
BCME1206,BCME,1,0,1,0,not_collected,partial
BCME1403,BCME,1,0,1,0,not_collected,partial
BCME1600,BCME,1,0,1,0,not_collected,partial
BCME2103,BCME,1,0,1,0,not_collected,partial
BCME2107,BCME,1,0,1,0,not_collected,partial
BCME2202,BCME,1,0,1,0,not_collected,partial
BCME2209,BCME,1,0,1,0,not_collected,partial
BCME2401,BCME,1,0,1,0,not_collected,partial
BCME2402,BCME,1,0,1,0,not_collected,partial
BCME2403,BCME,1,0,1,0,not_collected,partial
BCME2405,BCME,1,0,1,0,not_collected,partial
BCME3102,BCME,1,0,1,0,not_collected,partial
BCME3103,BCME,1,0,1,0,not_collected,partial
BCME3106,BCME,1,0,1,0,not_collected,partial
BCME3108,BCME,1,0,1,0,not_collected,partial
BCME3110,BCME,1,0,1,0,not_collected,partial
BCME3208,BCME,1,0,1,0,not_collected,partial
BCME4103,BCME,1,0,1,0,not_collected,partial
BCME4107,BCME,1,0,1,0,not_collected,partial
BCME4108,BCME,1,0,1,0,not_collected,partial
BCME4109,BCME,1,0,1,0,not_collected,partial
BCME4200,BCME,1,0,1,0,not_collected,partial
BECE2110,BECE,1,0,1,0,not_collected,partial
BECE2210,BECE,1,0,1,0,not_collected,partial
BECE2310,BECE,1,0,1,0,not_collected,partial
BECE2330,BECE,1,0,1,0,not_collected,partial
BECE2510,BECE,1,0,1,0,not_collected,partial
BECE3110,BECE,1,0,1,0,not_collected,partial
BECE3160,BECE,1,0,1,0,not_collected,partial
BECE3220,BECE,1,0,1,0,not_collected,partial
BECE4020,BECE,1,0,1,0,not_collected,partial
BEHM4000,BEHM,1,0,1,0,not_collected,partial
BEHM4001,BEHM,1,0,1,0,not_collected,partial
BEHM4002,BEHM,1,0,1,0,not_collected,partial
BIOL2120,BIOL,1,0,1,0,not_collected,partial
BIOL3012,BIOL,2,0,2,0,not_collected,partial
BIOL3410,BIOL,1,0,1,0,not_collected,partial
BIOL3510,BIOL,1,0,1,0,not_collected,partial
BIOL3560,BIOL,1,0,1,0,not_collected,partial
BIOL3610,BIOL,1,0,1,0,not_collected,partial
BIOL3630,BIOL,1,0,1,0,not_collected,partial
BIOL3710,BIOL,1,0,1,0,not_collected,partial
BIOL4010,BIOL,1,0,1,0,not_collected,partial
BIOL4012,BIOL,1,0,1,0,not_collected,partial
BIOL4120,BIOL,1,0,1,0,not_collected,partial
BIOL4230,BIOL,1,0,1,0,not_collected,partial
BIOL4240,BIOL,1,0,1,0,not_collected,partial
BIOL4242,BIOL,1,0,1,0,not_collected,partial
BIOL4610,BIOL,1,0,1,0,not_collected,partial
BIOL4902,BIOL,1,0,1,0,not_collected,partial
BIOL4906,BIOL,1,0,1,0,not_collected,partial
BMBL1001,BMBL,1,0,1,0,not_collected,partial
BMBL2001,BMBL,1,0,1,0,not_collected,partial
BMBL2003,BMBL,1,0,1,0,not_collected,partial
BMBL2004,BMBL,1,0,1,0,not_collected,partial
BMBL3002,BMBL,1,0,1,0,not_collected,partial
BMBL4101,BMBL,1,0,1,0,not_collected,partial
BMBL4102,BMBL,1,0,1,0,not_collected,partial
BMBL4201,BMBL,1,0,1,0,not_collected,partial
BMED3011,BMED,1,0,1,0,not_collected,partial
BMED3021,BMED,1,0,1,0,not_collected,partial
BMED3031,BMED,1,0,1,0,not_collected,partial
BMED3051,BMED,1,0,1,0,not_collected,partial
BMED3091,BMED,1,0,1,0,not_collected,partial
BMEG2001,BMEG,1,0,1,0,not_collected,partial
BMEG2210,BMEG,1,0,1,0,not_collected,partial
BMEG2410,BMEG,1,0,1,0,not_collected,partial
BMEG3103,BMEG,1,0,1,0,not_collected,partial
BMEG3105,BMEG,1,0,1,0,not_collected,partial
BMEG3111,BMEG,1,0,1,0,not_collected,partial
BMEG3140,BMEG,1,0,1,0,not_collected,partial
BMEG3320,BMEG,1,0,1,0,not_collected,partial
BMEG3330,BMEG,1,0,1,0,not_collected,partial
BMEG3430,BMEG,1,0,1,0,not_collected,partial
BMEG3910,BMEG,3,0,3,0,not_collected,partial
BMEG4220,BMEG,1,0,1,0,not_collected,partial
BMEG4998,BMEG,24,0,24,0,not_collected,partial
BMEG4999,BMEG,3,0,3,0,not_collected,partial
CDAS4998,CDAS,16,0,16,0,not_collected,partial
CDAS4999,CDAS,1,0,1,0,not_collected,partial
CENG2010,CENG,1,0,1,0,not_collected,partial
CENG2400,CENG,1,0,1,0,not_collected,partial
CENG4480,CENG,1,0,1,0,not_collected,partial
CENG4998,CENG,43,0,43,0,not_collected,partial
CENG4999,CENG,1,0,1,0,not_collected,partial
CHED3160,CHED,1,0,1,0,not_collected,partial
CHED4150,CHED,1,0,1,0,not_collected,partial
CHED4210,CHED,1,0,1,0,not_collected,partial
CHED4310,CHED,1,0,1,0,not_collected,partial
CHED4330,CHED,1,0,1,0,not_collected,partial
CHED4340,CHED,1,0,1,0,not_collected,partial
CHED4360,CHED,1,0,1,0,not_collected,partial
CHED4410,CHED,1,0,1,0,not_collected,partial
CHED4510,CHED,1,0,1,0,not_collected,partial
CHED4520,CHED,1,0,1,0,not_collected,partial
CHED4530,CHED,1,0,1,0,not_collected,partial
CHEM1070,CHEM,1,0,1,0,not_collected,partial
CHEM1072,CHEM,1,0,1,0,not_collected,partial
CHEM1280,CHEM,1,0,1,0,not_collected,partial
CHEM1300,CHEM,1,0,1,0,not_collected,partial
CHEM1380,CHEM,1,0,1,0,not_collected,partial
