course_code,subject_code,course_number,course_title_en,course_title_zh,units,catalog_status,source_snapshot_id
ACCT1111,ACCT,1111,Foundations in Financial Acctg,基礎財務會計,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT2111,ACCT,2111,Introductory Fin'l Accounting,財務會計導論,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT2121,ACCT,2121,Introductory Mgt Accounting,管理會計導論,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT2151,ACCT,2151,Legal Environment for Business,商業法律環境,2,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3111,ACCT,3111,Financial Reporting I,財務報告（一）,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3112,ACCT,3112,Financial Reporting II,財務報告（二）,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3121,ACCT,3121,Cost and Management Accounting,成本及管理會計,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3142,ACCT,3142,Accounting Information Systems,會計資訊系統,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3151,ACCT,3151,Business Law,商業法,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3152,ACCT,3152,Company Law,公司法,3,captured,2026-08-15T01-53-13+08-00-full-term-1
ACCT3161,ACCT,3161,Taxation,稅務學,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT3241,ACCT,3241,Intro Python- BusAcctAnalytic,商業與會計分析的Python入門基礎,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4001,ACCT,4001,Cap Proj: Bus Ethics & Entrep,頂點項目：商業道德與企業研究,2,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4111,ACCT,4111,Advanced Financial Accounting,高級財務會計,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4131,ACCT,4131,Auditing,審計學,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4215,ACCT,4215,Cont Acct Iss in Global Market,全球市場中的當代會計問題,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4244,ACCT,4244,Blockchain Fund'tal for Acct,會計師區塊鏈基礎知識,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4262,ACCT,4262,China Taxation,中國稅法,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
ACCT4290,ACCT,4290,Pro Acct Intern,專業會計實習,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
AIST1000,AIST,1000,Introduction to AI & ML,人工智能與機器學習入門,1,not_collected,2026-08-15T01-53-13+08-00-full-term-1
AIST2010,AIST,2010,Intro to Computer Music,電腦音樂導論,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
AIST3030,AIST,3030,Numerical Optimization,數值優化,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
AIST4010,AIST,4010,Foundation of Applied DL,應用深度學習基礎,3,not_collected,2026-08-15T01-53-13+08-00-full-term-1
