term_code,class_nbr,meeting_seq,component,section_code,days,start_time,end_time,period_raw,room_code,room_name,meeting_dates_raw,instructor,source_snapshot_id,captured_at
2420,9637,1,LEC,A,Tu,03:30PM,06:15PM,Tu 03:30PM - 06:15PM,WMY_505,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Dr. WONG Kin Ho,2026-08-15T01-53-13+08-00-full-term-1,
2420,9602,1,LEC,B,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ARC_G03,,"9/10, 9/17, 9/24",- Dr. WONG Kin Ho,2026-08-15T01-53-13+08-00-full-term-1,
2420,9602,2,LEC,B,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ARC_G03,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Dr. WONG Kin Ho,2026-08-15T01-53-13+08-00-full-term-1,
2420,5857,1,LEC,C,Tu,12:30PM,03:15PM,Tu 12:30PM - 03:15PM,WMY_505,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Dr. WONG Kin Ho,2026-08-15T01-53-13+08-00-full-term-1,
2420,5652,1,LEC,A,Fr,08:30AM,11:15AM,Fr 08:30AM - 11:15AM,CKB_LT3,,"9/11, 9/18, 9/25, 10/2, 10/9, 10/16, 10/23, 10/30, 11/6, 11/13, 11/20, 11/27, 12/4",- Professor GENG Lingfeng,2026-08-15T01-53-13+08-00-full-term-1,
2420,7071,1,LEC,B,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,LKC_LT1,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Professor Janja BRENDEL,2026-08-15T01-53-13+08-00-full-term-1,
2420,7071,2,LEC,B,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,LKC_LT1,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Professor Janja BRENDEL,2026-08-15T01-53-13+08-00-full-term-1,
2420,7035,1,LEC,C,We,02:30PM,05:15PM,We 02:30PM - 05:15PM,CYT_LT1A,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor GENG Lingfeng,2026-08-15T01-53-13+08-00-full-term-1,
2420,7069,1,LEC,D,Tu,02:30PM,05:15PM,Tu 02:30PM - 05:15PM,ERB_LT,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor Janja BRENDEL,2026-08-15T01-53-13+08-00-full-term-1,
2420,7287,1,LEC,E,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_LT1,,"9/10, 9/17, 9/24",- Professor GENG Lingfeng,2026-08-15T01-53-13+08-00-full-term-1,
2420,7287,2,LEC,E,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_LT1,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor GENG Lingfeng,2026-08-15T01-53-13+08-00-full-term-1,
2420,9076,1,LEC,A,Tu,02:30PM,05:15PM,Tu 02:30PM - 05:15PM,YIA_LT5,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor KANG Ya,2026-08-15T01-53-13+08-00-full-term-1,
2420,9690,1,LEC,B,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,YIA_LT8,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Professor KANG Ya,2026-08-15T01-53-13+08-00-full-term-1,
2420,9690,2,LEC,B,Mo,03:30PM,06:15PM,Mo 03:30PM - 06:15PM,YIA_LT8,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Professor KANG Ya,2026-08-15T01-53-13+08-00-full-term-1,
2420,9446,1,LEC,C,We,09:30AM,12:15PM,We 09:30AM - 12:15PM,CYT_LT1B,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor KANG Ya,2026-08-15T01-53-13+08-00-full-term-1,
2420,9133,1,LEC,A,Tu,12:30PM,02:15PM,Tu 12:30PM - 02:15PM,ARC_G03,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9600,1,LEC,B,We,02:30PM,04:15PM,We 02:30PM - 04:15PM,ARC_G03,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9134,1,LEC,C,Mo,02:30PM,04:15PM,Mo 02:30PM - 04:15PM,ARC_G03,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,9134,2,LEC,C,Mo,02:30PM,04:15PM,Mo 02:30PM - 04:15PM,ARC_G03,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. SO Lok Kan,2026-08-15T01-53-13+08-00-full-term-1,
2420,5580,1,LEC,A,We,09:30AM,12:15PM,We 09:30AM - 12:15PM,CYT_209B,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Dr. GUAN Yanling,2026-08-15T01-53-13+08-00-full-term-1,
2420,5447,1,LEC,A,We,02:30PM,05:15PM,We 02:30PM - 05:15PM,YIA_201,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor Erik Thomas ELFRINK,2026-08-15T01-53-13+08-00-full-term-1,
2420,7395,1,LEC,B,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_302,,"9/10, 9/17, 9/24",- Professor Erik Thomas ELFRINK,2026-08-15T01-53-13+08-00-full-term-1,
2420,7395,2,LEC,B,Th,02:30PM,05:15PM,Th 02:30PM - 05:15PM,ELB_302,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor Erik Thomas ELFRINK,2026-08-15T01-53-13+08-00-full-term-1,
2420,5939,1,LEC,C,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,ELB_401,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Professor Erik Thomas ELFRINK,2026-08-15T01-53-13+08-00-full-term-1,
2420,5939,2,LEC,C,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,ELB_401,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Professor Erik Thomas ELFRINK,2026-08-15T01-53-13+08-00-full-term-1,
2420,5581,1,LEC,A,We,02:30PM,05:15PM,We 02:30PM - 05:15PM,ARC_G04,,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",- Professor YIN Laiyi,2026-08-15T01-53-13+08-00-full-term-1,
2420,5582,1,LEC,B,Tu,09:30AM,12:15PM,Tu 09:30AM - 12:15PM,CYT_201,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Professor YIN Laiyi,2026-08-15T01-53-13+08-00-full-term-1,
2420,9421,1,LEC,C,Th,09:30AM,12:15PM,Th 09:30AM - 12:15PM,WMY_304,,"9/10, 9/17, 9/24",- Professor YIN Laiyi,2026-08-15T01-53-13+08-00-full-term-1,
2420,9421,2,LEC,C,Th,09:30AM,12:15PM,Th 09:30AM - 12:15PM,WMY_304,,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",- Professor YIN Laiyi,2026-08-15T01-53-13+08-00-full-term-1,
2420,9689,1,LEC,A,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,ARC_G04,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. WONG Ka Lok,2026-08-15T01-53-13+08-00-full-term-1,
2420,9689,2,LEC,A,Mo,12:30PM,03:15PM,Mo 12:30PM - 03:15PM,ARC_G04,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. WONG Ka Lok,2026-08-15T01-53-13+08-00-full-term-1,
2420,9601,1,LEC,B,Tu,10:30AM,01:15PM,Tu 10:30AM - 01:15PM,ELB_206,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Dr. WONG Ka Lok,2026-08-15T01-53-13+08-00-full-term-1,
2420,5677,1,LEC,A,Tu,03:30PM,06:15PM,Tu 03:30PM - 06:15PM,SB_LT2,,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",- Dr. LAW Man Wai Anthony,2026-08-15T01-53-13+08-00-full-term-1,
2420,5404,1,LEC,B,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,YIA_LT7,,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",- Dr. LAW Man Wai Anthony,2026-08-15T01-53-13+08-00-full-term-1,
2420,5404,2,LEC,B,Mo,09:30AM,12:15PM,Mo 09:30AM - 12:15PM,YIA_LT7,,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",- Dr. LAW Man Wai Anthony,2026-08-15T01-53-13+08-00-full-term-1,
