term_code,class_nbr,quota_seq,reserved_for,enrollment_quota,enrollment_total,source_snapshot_id,captured_at
2420,5652,1,FO-UG FTIB Double Major Prog,3,2,2026-08-15T01-38-53+08-00,2026-08-14T17:45:32.307Z
2420,5652,2,FO-UG IBFT Double Major Prog,3,3,2026-08-15T01-38-53+08-00,2026-08-14T17:45:32.307Z
2420,5652,3,For UG BEHM Major,20,2,2026-08-15T01-38-53+08-00,2026-08-14T17:45:32.307Z
2420,5652,4,For UG RMSC Major,20,5,2026-08-15T01-38-53+08-00,2026-08-14T17:45:32.307Z
2420,5652,5,For Year 2 or above BAF majors and all IBBA students admitted to senior-year places,84,29,2026-08-15T01-38-53+08-00,2026-08-14T17:45:32.307Z
2420,7035,1,For IBBA students admitted to Senior Year places,10,,2026-08-15T01-38-53+08-00,2026-08-14T17:45:44.543Z
2420,7069,1,For UG QFRM Major,20,2,2026-08-15T01-38-53+08-00,2026-08-14T17:45:50.245Z
2420,7069,2,"1. For Year 2 or above BAF majors 2. For all BEHM, IBFT, FTIB students 3. For IBBA students admitted to Senior Year places",110,74,2026-08-15T01-38-53+08-00,2026-08-14T17:45:50.245Z
2420,7071,1,"1. For Year 2 or above BAF majors 2. For all BEHM, IBFT, FTIB students 3. For IBBA students admitted to Senior Year places",130,57,2026-08-15T01-38-53+08-00,2026-08-14T17:45:38.422Z
2420,7287,1,For IBBA students admitted to Senior Year places,5,,2026-08-15T01-38-53+08-00,2026-08-14T17:45:55.944Z
2420,9602,1,For UG QFIN Major,65,1,2026-08-15T01-38-53+08-00,2026-08-14T17:45:26.611Z
2420,9602,2,For UG GLEF Major,12,2,2026-08-15T01-38-53+08-00,2026-08-14T17:45:26.611Z
