term_code,subject_code,subject_name,query_status,query_error,main_record_count,unique_class_nbr_count,first_captured_at,last_checked_at,source_snapshot_id,source_kind,review_note
2420,ACCT,,data,,62,41,2026-08-14T17:54:13.919Z,2026-08-14T17:54:19.641Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,AIST,,data,,62,49,2026-08-14T17:53:27.585Z,2026-08-14T17:53:32.224Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,ANTH,,data,,77,21,2026-08-14T17:53:32.225Z,2026-08-14T17:53:36.777Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,ARAB,,data,,2,2,2026-08-14T17:53:36.777Z,2026-08-14T17:53:41.266Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,ARCH,,data,,56,18,2026-08-14T17:53:41.266Z,2026-08-14T17:53:46.085Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,ARTS,,school_approval_required,CUSIS returned an unverified blank result,0,0,2026-08-14T18:00:12.100Z,2026-08-14T18:00:21.944Z,2026-08-15T01-53-13+08-00-full-term-1,current,"Per confirmed project rule, this subject requires school approval; absence of public rows is not treated as a collection gap."
2420,ASEI,,data,,9,2,2026-08-14T17:53:58.472Z,2026-08-14T17:54:04.751Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BCHE,,data,,51,16,2026-08-14T17:54:04.751Z,2026-08-14T17:54:11.121Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BCME,,data,,62,22,2026-08-14T17:55:18.014Z,2026-08-14T17:55:27.850Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BECE,,data,,17,9,2026-08-14T17:54:39.270Z,2026-08-14T17:54:43.630Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BEHM,,data,,3,3,2026-08-14T17:54:43.630Z,2026-08-14T17:54:48.958Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BIOL,,data,,34,18,2026-08-14T17:54:48.959Z,2026-08-14T17:54:53.418Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BMBL,,data,,15,8,2026-08-14T17:54:53.418Z,2026-08-14T17:54:57.858Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BMED,,data,,10,5,2026-08-14T17:54:57.859Z,2026-08-14T17:55:02.495Z,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,BMEG,,data,,81,41,2026-08-14T17:56:18.381Z,2026-08-14T17:56:23.140Z,2026-08-15T01-53-13+08-00-full-term-1,current,
